 col,row,time,value
         8,         7,  0.1000000E+02,  0.5009000E+00
         8,         7,  0.2000000E+02,  0.5010000E+00
         8,         7,  0.3000000E+02,  0.5010000E+00
         8,         7,  0.4000000E+02,  0.5010000E+00
         8,         7,  0.5000000E+02,  0.5010000E+00
         8,         7,  0.6000000E+02,  0.5010000E+00
         8,         7,  0.7000000E+02,  0.5010000E+00
         8,         7,  0.8000000E+02,  0.5010000E+00
         8,         7,  0.9000000E+02,  0.5010000E+00
         8,         7,  0.1000000E+03,  0.5010000E+00
         8,         7,  0.1100000E+03,  0.5010000E+00
         8,         7,  0.1200000E+03,  0.5010000E+00
         8,         7,  0.1300000E+03,  0.5011000E+00
         8,         7,  0.1400000E+03,  0.5011000E+00
         8,         7,  0.1500000E+03,  0.5011000E+00
         8,         7,  0.1600000E+03,  0.5013000E+00
         8,         7,  0.1700000E+03,  0.5014000E+00
         8,         7,  0.1800000E+03,  0.5016000E+00
         8,         7,  0.1900000E+03,  0.5021000E+00
         8,         7,  0.2000000E+03,  0.5025000E+00
         8,         7,  0.2100000E+03,  0.5030000E+00
         8,         7,  0.2200000E+03,  0.5047000E+00
         8,         7,  0.2300000E+03,  0.5065000E+00
         8,         7,  0.2400000E+03,  0.5081000E+00
         8,         7,  0.2500000E+03,  0.5114000E+00
         8,         7,  0.2600000E+03,  0.5147000E+00
         8,         7,  0.2700000E+03,  0.5180000E+00
         8,         7,  0.2800000E+03,  0.5244000E+00
         8,         7,  0.2900000E+03,  0.5308000E+00
         8,         7,  0.3000000E+03,  0.5373000E+00
         8,         7,  0.3100000E+03,  0.5475000E+00
         8,         7,  0.3200000E+03,  0.5578000E+00
         8,         7,  0.3300000E+03,  0.5683000E+00
         8,         7,  0.3400000E+03,  0.5820000E+00
         8,         7,  0.3500000E+03,  0.5957000E+00
         8,         7,  0.3600000E+03,  0.6095000E+00
         8,         7,  0.3700000E+03,  0.6246000E+00
         8,         7,  0.3800000E+03,  0.6396000E+00
         8,         7,  0.3900000E+03,  0.6545000E+00
         8,         7,  0.4000000E+03,  0.6678000E+00
         8,         7,  0.4100000E+03,  0.6808000E+00
         8,         7,  0.4200000E+03,  0.6932000E+00
         8,         7,  0.4300000E+03,  0.7020000E+00
         8,         7,  0.4400000E+03,  0.7102000E+00
         8,         7,  0.4500000E+03,  0.7178000E+00
         8,         7,  0.4600000E+03,  0.7212000E+00
         8,         7,  0.4700000E+03,  0.7239000E+00
         8,         7,  0.4800000E+03,  0.7262000E+00
         8,         7,  0.4900000E+03,  0.7251000E+00
         8,         7,  0.5000000E+03,  0.7237000E+00
         8,         7,  0.5100000E+03,  0.7220000E+00
         8,         7,  0.5200000E+03,  0.7185000E+00
         8,         7,  0.5300000E+03,  0.7149000E+00
         8,         7,  0.5400000E+03,  0.7114000E+00
         8,         7,  0.5500000E+03,  0.7070000E+00
         8,         7,  0.5600000E+03,  0.7028000E+00
         8,         7,  0.5700000E+03,  0.6987000E+00
         8,         7,  0.5800000E+03,  0.6944000E+00
         8,         7,  0.5900000E+03,  0.6903000E+00
         8,         7,  0.6000000E+03,  0.6863000E+00
         8,         7,  0.6100000E+03,  0.6824000E+00
         8,         7,  0.6200000E+03,  0.6787000E+00
         8,         7,  0.6300000E+03,  0.6751000E+00
         8,         7,  0.6400000E+03,  0.6716000E+00
         8,         7,  0.6500000E+03,  0.6683000E+00
         8,         7,  0.6600000E+03,  0.6651000E+00
         8,         7,  0.6700000E+03,  0.6620000E+00
